Startdatum,Starttid,Slutdatum,Sluttid,Aktivitet,Grupp,Tillfälleskod/kurskod,Lokal,Info,Personal,Program/klass 
2018-10-08,08:00,2018-10-08,12:00,Övning,DD1368 Helklass,DD1368,"M23, M24, M36, U61",,Dena Hussain,"CDATE2, CLGYM3-TIKT"
2018-10-08,10:00,2018-10-08,12:00,Övning,"IS1500 grupp A, IS1500 grupp B",IS1500,"V32, V34",,"David Broman, Fredrik Lundevall, Gunnar Johansson","CDATE2, CLGYM2-TIKT"
2018-10-08,13:00,2018-10-08,17:00,Övning,DD1368 Helklass,DD1368,"D34, D35, D41, D42",,Dena Hussain,"CDATE2, CLGYM3-TIKT"
2018-10-08,13:00,2018-10-08,15:00,Övning,"IS1500 grupp C, IS1500 grupp D",IS1500,"V32, V34",,"David Broman, Fredrik Lundevall, Gunnar Johansson","CDATE2, CLGYM2-TIKT"
2018-10-08,15:00,2018-10-08,19:00,Laboration,,IS1500,5O1Spe (Spelhallen),,"David Broman, Fredrik Lundevall, Gunnar Johansson","CDATE2, CLGYM2-TIKT"
2018-10-09,08:00,2018-10-09,10:00,Övning,DD1351 Helklass,DD1351,"Q31, Q33, Q34, Q36",,"Alf Thomas Sjöland, Johan Karlander","CDATE2, CINTE2, CINTE3"
2018-10-09,10:00,2018-10-09,12:00,Föreläsning,,IS1500,Q1,,David Broman,"CDATE2, CLGYM2-TIKT"
2018-10-09,13:00,2018-10-09,15:00,Föreläsning,,ME1010,FR4,,"Gisela Bäcklander, Maria Lindhagen",CDATE2
2018-10-09,15:00,2018-10-09,19:00,Laboration,,IS1500,5O1Spe (Spelhallen),,"David Broman, Fredrik Lundevall, Gunnar Johansson","CDATE2, CLGYM2-TIKT"
2018-10-10,08:00,2018-10-10,12:00,Laboration,,IS1500,4V6Bru (Brun),,"David Broman, Fredrik Lundevall, Gunnar Johansson","CDATE2, CLGYM2-TIKT"
2018-10-10,10:00,2018-10-10,12:00,Föreläsning,,ME1010,V2,,"Gisela Bäcklander, Maria Lindhagen",CDATE2
2018-10-10,12:00,2018-10-10,13:00,Övning,,IS1500,U21,,"David Broman, Fredrik Lundevall, Gunnar Johansson","CDATE2, CLGYM2-TIKT"
2018-10-10,13:00,2018-10-10,17:00,Datorlaboration,DD1351 Helklass,DD1351,"4V2Röd (Röd), 4V4Gul (Gul), 4V6Bru (Brun), 5V1Grå (Grå), 5V2Kar (Karmosin), 5V4Mag (Magenta)",,"Alf Thomas Sjöland, Johan Karlander","CDATE2, CINTE2, CINTE3"
2018-10-11,10:00,2018-10-11,12:00,Information,,"DD1390, DD1391",,,,CDATE2
2018-10-11,13:00,2018-10-11,15:00,Föreläsning,,IS1500,Q1,,David Broman,"CDATE2, CLGYM2-TIKT"
2018-10-11,16:00,2018-10-11,18:00,"Mastermässa, U-huset, BV28A",,,,,,
2018-10-12,08:00,2018-10-12,12:00,Laboration,DD1368 Helklass,DD1368,"4V3Ora (Orange), 4V5Grö (Grön), 5O1Spe (Spelhallen), 5O2Spo (Sporthallen)",,,"CDATE2, CLGYM3-TIKT"
2018-10-12,08:00,2018-10-12,12:00,Laboration,,IS1500,5V2Kar (Karmosin),,"David Broman, Fredrik Lundevall, Gunnar Johansson","CDATE2, CLGYM2-TIKT"
2018-10-12,13:00,2018-10-12,17:00,Laboration,DD1368 Helklass,DD1368,"4V2Röd (Röd), 4V4Gul (Gul), 4V5Grö (Grön), 5V2Kar (Karmosin)",,,CDATE2
2018-10-12,13:00,2018-10-12,17:00,Laboration,,IS1500,5V3Vit (Vit),,"David Broman, Fredrik Lundevall, Gunnar Johansson","CDATE2, CLGYM2-TIKT"
2018-10-25,08:00,2018-10-25,12:00,Tentamen,,ME1010,"F2, L1, L21, L22, L51, L52, V3",,"Gisela Bäcklander, Maria Lindhagen",CDATE2
2018-10-29,08:00,2018-10-29,10:00,Övning,"IS1500 grupp C, IS1500 grupp D",IS1500,"V32, V34",,"David Broman, Fredrik Lundevall, Gunnar Johansson","CDATE2, CLGYM2-TIKT"
